trial_num,trial_type,looking_time_s,lab,subid,stimulus
1,IDS,12.314,Kizito - Uganda,IDS_019,IDS_1
2,ADS,5.31,Kizito - Uganda,IDS_019,ADS_1
3,IDS,7.837,Kizito - Uganda,IDS_019,IDS_2
4,ADS,5.391,Kizito - Uganda,IDS_019,ADS_2
5,ADS,3.301,Kizito - Uganda,IDS_019,ADS_3
6,IDS,15.944,Kizito - Uganda,IDS_019,IDS_3
7,IDS,16.915,Kizito - Uganda,IDS_019,IDS_4
8,ADS,10.566,Kizito - Uganda,IDS_019,ADS_4
9,ADS,15.002,Kizito - Uganda,IDS_019,ADS_5
10,IDS,12.117,Kizito - Uganda,IDS_019,IDS_5
11,ADS,9.225,Kizito - Uganda,IDS_019,ADS_6
12,IDS,8.244,Kizito - Uganda,IDS_019,IDS_6
13,IDS,8.401,Kizito - Uganda,IDS_019,IDS_7
14,ADS,7.072,Kizito - Uganda,IDS_019,ADS_7
-2,training,14.503,Kizito - Uganda,IDS_020,training
-1,training,17.896,Kizito - Uganda,IDS_020,training
1,IDS,15.372,Kizito - Uganda,IDS_020,IDS_1
2,ADS,6.72,Kizito - Uganda,IDS_020,ADS_1
3,IDS,15.763,Kizito - Uganda,IDS_020,IDS_2
4,ADS,7.02,Kizito - Uganda,IDS_020,ADS_2
5,ADS,4.991,Kizito - Uganda,IDS_020,ADS_3
6,IDS,3.287,Kizito - Uganda,IDS_020,IDS_3
7,IDS,5.834,Kizito - Uganda,IDS_020,IDS_4
8,ADS,3.523,Kizito - Uganda,IDS_020,ADS_4
9,ADS,6.516,Kizito - Uganda,IDS_020,ADS_5
10,IDS,4.152,Kizito - Uganda,IDS_020,IDS_5
-2,training,17.769,Kizito - Uganda,IDS_021,training
-1,training,17.832,Kizito - Uganda,IDS_021,training
1,IDS,17.965,Kizito - Uganda,IDS_021,IDS_1
2,ADS,5.414,Kizito - Uganda,IDS_021,ADS_1
3,IDS,8.618,Kizito - Uganda,IDS_021,IDS_2
4,ADS,7.818,Kizito - Uganda,IDS_021,ADS_2
5,ADS,2.993,Kizito - Uganda,IDS_021,ADS_3
6,IDS,17.742,Kizito - Uganda,IDS_021,IDS_3
7,IDS,17.788,Kizito - Uganda,IDS_021,IDS_4
8,ADS,5.523,Kizito - Uganda,IDS_021,ADS_4
9,ADS,17.373,Kizito - Uganda,IDS_021,ADS_5
10,IDS,7.068,Kizito - Uganda,IDS_021,IDS_5
11,ADS,4.678,Kizito - Uganda,IDS_021,ADS_6
12,IDS,6.917,Kizito - Uganda,IDS_021,IDS_6
13,IDS,8.249,Kizito - Uganda,IDS_021,IDS_7
14,ADS,2.367,Kizito - Uganda,IDS_021,ADS_7
-2,training,8.534,Kizito - Uganda,IDS_022,training
-1,training,15.285,Kizito - Uganda,IDS_022,training
1,IDS,16.135,Kizito - Uganda,IDS_022,IDS_1
2,ADS,16.13,Kizito - Uganda,IDS_022,ADS_1
3,IDS,9.098,Kizito - Uganda,IDS_022,IDS_2
4,ADS,10.034,Kizito - Uganda,IDS_022,ADS_2
5,ADS,10.304,Kizito - Uganda,IDS_022,ADS_3
6,IDS,4.151,Kizito - Uganda,IDS_022,IDS_3
7,IDS,4.744,Kizito - Uganda,IDS_022,IDS_4
8,ADS,11.243,Kizito - Uganda,IDS_022,ADS_4
9,ADS,14.352,Kizito - Uganda,IDS_022,ADS_5
10,IDS,1.429,Kizito - Uganda,IDS_022,IDS_5
11,ADS,3.724,Kizito - Uganda,IDS_022,ADS_6
12,IDS,4.74,Kizito - Uganda,IDS_022,IDS_6
13,IDS,7.523,Kizito - Uganda,IDS_022,IDS_7
14,ADS,6.778,Kizito - Uganda,IDS_022,ADS_7
-2,training,14.016,Kizito - Uganda,IDS_023,training
-1,training,5.218,Kizito - Uganda,IDS_023,training
1,IDS,14.566,Kizito - Uganda,IDS_023,IDS_1
2,ADS,4.57,Kizito - Uganda,IDS_023,ADS_1
3,IDS,7.597,Kizito - Uganda,IDS_023,IDS_2
4,ADS,7.082,Kizito - Uganda,IDS_023,ADS_2
5,ADS,14.25,Kizito - Uganda,IDS_023,ADS_3
6,IDS,5.978,Kizito - Uganda,IDS_023,IDS_3
7,IDS,1.887,Kizito - Uganda,IDS_023,IDS_4
8,ADS,3.132,Kizito - Uganda,IDS_023,ADS_4
9,ADS,0.819,Kizito - Uganda,IDS_023,ADS_5
10,IDS,3.416,Kizito - Uganda,IDS_023,IDS_5
11,ADS,2.631,Kizito - Uganda,IDS_023,ADS_6
12,IDS,5.521,Kizito - Uganda,IDS_023,IDS_6
13,IDS,8.744,Kizito - Uganda,IDS_023,IDS_7
14,ADS,3.515,Kizito - Uganda,IDS_023,ADS_7
15,ADS,4.993,Kizito - Uganda,IDS_023,ADS_8
-2,training,16.174,Kizito - Uganda,IDS_024,training
-1,training,8.181,Kizito - Uganda,IDS_024,training
1,IDS,17.596,Kizito - Uganda,IDS_024,IDS_1
2,ADS,11.248,Kizito - Uganda,IDS_024,ADS_1
3,IDS,17.7,Kizito - Uganda,IDS_024,IDS_2
4,ADS,9.675,Kizito - Uganda,IDS_024,ADS_2
5,ADS,6.246,Kizito - Uganda,IDS_024,ADS_3
6,IDS,4.084,Kizito - Uganda,IDS_024,IDS_3
7,IDS,5.349,Kizito - Uganda,IDS_024,IDS_4
8,ADS,5.511,Kizito - Uganda,IDS_024,ADS_4
9,ADS,8.874,Kizito - Uganda,IDS_024,ADS_5
10,IDS,11.655,Kizito - Uganda,IDS_024,IDS_5
11,ADS,4.672,Kizito - Uganda,IDS_024,ADS_6
12,IDS,7.046,Kizito - Uganda,IDS_024,IDS_6
13,IDS,2.83,Kizito - Uganda,IDS_024,IDS_7
14,ADS,0.864,Kizito - Uganda,IDS_024,ADS_7
15,ADS,1.182,Kizito - Uganda,IDS_024,ADS_8
-2,training,15.796,Kizito - Uganda,IDS_027,training
-1,training,15.66,Kizito - Uganda,IDS_027,training
1,IDS,15.787,Kizito - Uganda,IDS_027,IDS_1
2,ADS,16.079,Kizito - Uganda,IDS_027,ADS_1
3,IDS,16.072,Kizito - Uganda,IDS_027,IDS_2
4,ADS,15.86,Kizito - Uganda,IDS_027,ADS_2
5,ADS,13.523,Kizito - Uganda,IDS_027,ADS_3
6,IDS,17.254,Kizito - Uganda,IDS_027,IDS_3
7,IDS,9.182,Kizito - Uganda,IDS_027,IDS_4
8,ADS,4.1,Kizito - Uganda,IDS_027,ADS_4
