Name,Project,🌍 Country,🏫 Primary Affiliation,🏫 Secondary Affiliation(s),🟢 ORCiD,Conceptualization,Formal analysis,Investigation,Methodology,Project administration,Writing - original draft,Writing - review & editing,LabID,Leadership Role(s),📚 Projects
Scott P. Johnson,MB1,United States,"""University of California, Los Angeles""",,https://orcid.org/0000-0003-2970-184X,,,Leading,,,,,babylabUCLAjohnson,,"MB1,MB3"
Shannon M. Brady,MB1,United States,"""University of California, Los Angeles""",,https://orcid.org/0000-0002-9691-8734,,,Leading,,,,,babylabUCLAjohnson,,MB1
Shoji Itakura,MB1,Japan,Kyoto University,,,,,Leading,,,,,,,MB1
Shruthilaya Ramachandran,MB1,Singapore,National University of Singapore,,,,,Leading,,,,,,,MB1
Sophie Savelkouls,MB1,United States,Boston College,,https://orcid.org/0000-0001-6405-5455,,,Leading,,,,,icclBC,,MB1
Stefania Conte,MB1,Italy,Università degli Studi di Milano-Bicocca,,https://orcid.org/0000-0002-8249-3288,,,Leading,,,,,BiccBabyLab,,MB1
Stéphanie Barbu,MB1,France,Université de Rennes 1,CNRS,,,,Leading,,,,,ethosRennes,,"MB1,MB1N"
Stephanie Wermelinger,MB1,Switzerland,University of Zurich,,https://orcid.org/0000-0002-6500-9108,,,Leading,,,,,weltentdeckerZurich,,"MB1,MB1B,MB1G,MB3,MB3L"
Steven G. Luke,MB1,United States,Brigham Young University,,,,,Leading,,,,,,,MB1
Tamar Keren-Portnoy,MB1,United Kingdom,University of York,,https://orcid.org/0000-0002-7258-2404,,,Leading,,,,,babylabYork,,"MB1,MB5"
Teresa Flanagan,MB1,United States,Franklin & Marshall College,,https://orcid.org/0000-0002-6003-7089,,,Leading,,,,,,,MB1
Thierry Nazzi,MB1,France,Université Paris Cité,,https://orcid.org/0000-0002-4378-3661,Leading,,,Leading,,Leading,,babylabParisDescartes1,,"MB1,MB1N"
Tom Fritzsche,MB1,Germany,University of Potsdam,,https://orcid.org/0000-0002-7917-514X,,,Leading,,,,,,,"MB-AtHome,MB1,MB1L,MB3,MB5,MB1T"
Ulf Liszkowski,MB1,Germany,Universität Hamburg,,https://orcid.org/0000-0003-4294-3632,,,Leading,,,,,kokuHamburg,,"MB1,MB1G,MB2,MB2P"
Victoria Mateu,MB1,United States,"""University of California, Los Angeles""",,https://orcid.org/0000-0002-3170-4444,,,Leading,,,,,langlabUCLA,,"MB-AtHome,MB1,MB1B"
Viola Macchi Cassia,MB1,Italy,Università degli Studi di Milano-Bicocca,,https://orcid.org/0000-0002-9983-8254,,,Leading,,,,,BiccBabyLab,,"MB-AtHome,MB1"
Virginie Durier,MB1,France,Université de Rennes 1,CNRS,https://orcid.org/0000-0002-7323-8779,,,Leading,,,,,ethosRennes,MB1N Lead,"MB1,MB1N"
Yana Ryjova,MB1,United States,"""University of Nevada, Las Vegas""",,https://orcid.org/0000-0002-2037-8743,,,Leading,,,,,,,"MB1,MB1L"
Yuanyuan Wang,MB1,United States,The Ohio State University,,,,,Leading,,,,,,,"MB1,MB5"
Yusuke Moriguchi,MB1,Japan,Kyoto University,,https://orcid.org/0000-0002-9002-7834,,,Leading,,,,,kyotobabylab,,"MB1,MB5"
