lab,ID,DOB,TestDate,age_days,A2,A3a,A3b,A4a,A4b,A5a,A5b,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22a,A22b,A23a,A23b,A23c,A23d,A24,A25a,A25b,A25c,A25d,A26a,A26b,A26c,A26d,A27a,A27b
Uganda,41.00,23-Sep-21,9-Dec-22,442d,M,F,,F,,F,,F,F,mother,F,2.00,1.00,1.00,7.00,1.00,6.00,2.00,2.00,1.00,2.00,13.00,1.00,2.00,2.00,Luganda,1.00,,,10.00,8.00,2.00,,,1.00,4.00,1.00,5.00,7.00,6.00
Uganda,42.00,3-Oct-21,9-Dec-22,432d,M,F,,F,,F,,F,F,mother,F,2.00,1.00,1.00,8.00,0.00,7.00,1.00,2.00,1.00,1.00,8.00,0.00,0.00,2.00,Luganda,,,,12.00,12.00,,,,2.00,5.00,2.00,5.00,2.00,2.00
Uganda,43.00,29-Sep-21,9-Dec-22,436d,M,F,,F,,F,,F,F,mother,F,2.00,1.00,1.00,7.00,0.00,6.00,2.00,2.00,1.00,2.00,14.00,1.00,0.00,2.00,Luganda,2.00,,,7.00,6.00,1.00,,,1.00,4.00,1.00,5.00,6.00,6.00
Uganda,44.00,11-Sep-21,9-Dec-22,454d,M,F,,F,,F,,F,F,mother,F,2.00,1.00,1.00,7.00,3.00,6.00,2.00,2.00,1.00,1.00,7.00,3.00,3.00,3.00,Luganda,,,,9.00,9.00,,,,1.00,5.00,1.00,5.00,5.00,2.00
Uganda,45.00,22-Sep-21,9-Dec-22,443d,M,F,,F,,F,,F,F,mother,F,2.00,1.00,2.00,13.00,0.00,6.00,2.00,2.00,1.00,2.00,13.00,0.00,0.00,2.00,Luganda,5.00,4.00,,10.00,7.00,2.00,1.00,,1.00,4.00,1.00,5.00,6.00,6.00
Uganda,46.00,1-Mar-22,9-Dec-22,283d,M,F,,F,,F,,F,F,mother,F,2.00,1.00,2.00,12.00,1.00,7.00,1.00,2.00,1.00,2.00,12.00,1.00,1.00,2.00,Luganda,1.00,,,12.00,7.00,5.00,,,3.00,4.00,2.00,4.00,3.00,3.00
Uganda,47.00,1-Dec-21,9-Dec-22,373d,M,F,,F,,F,,F,F,mother,F,2.00,1.00,2.00,15.00,2.00,6.00,2.00,2.00,1.00,2.00,16.00,2.00,2.00,2.00,Luganda,1.00,,,9.00,8.00,1.00,,,1.00,5.00,5.00,5.00,6.00,1.00
Uganda,48.00,22-Nov-21,9-Dec-22,382d,M,F,,F,,F,,T,F,mother,F,2.00,1.00,1.00,3.00,1.00,7.00,1.00,2.00,1.00,1.00,3.00,1.00,1.00,2.00,Luganda,,,,9.00,9.00,,,,3.00,5.00,4.00,5.00,1.00,1.00
Uganda,49.00,24-Nov-21,9-Dec-22,380d,M,F,,F,,F,,F,F,mother,F,2.00,1.00,1.00,8.00,1.00,7.00,1.00,2.00,1.00,1.00,8.00,1.00,1.00,2.00,Luganda,,,,9.00,9.00,,,,5.00,4.00,1.00,5.00,2.00,2.00
Uganda,50.00,17-Sep-21,9-Dec-22,448d,F,F,,F,,F,,T,F,mother,F,2.00,1.00,2.00,11.00,3.00,6.00,2.00,2.00,1.00,2.00,16.00,3.00,2.00,2.00,Luganda,1.00,,,8.00,7.00,1.00,,,1.00,4.00,2.00,5.00,1.00,1.00
